source,file,indicator_code,indicator_name,unit,data_format,notes
FAO,Macro-Statistics_Key_Indicators_E_ItemCodes.csv,Item Code,Item Code,,wide,"Columns: Item Code, Item..."
FAO,Macro-Statistics_Key_Indicators_E_ItemCodes.csv,Item,Item,,wide,"Columns: Item Code, Item..."
FAO,Prices_E_All_Data_(Normalized).csv,Producer Price (SLC/tonne),Producer Price (SLC/tonne),SLC,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 212 distinct items"
FAO,Prices_E_All_Data_(Normalized).csv,Producer Price (USD/tonne),Producer Price (USD/tonne),USD,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 212 distinct items"
FAO,Prices_E_All_Data_(Normalized).csv,Producer Price (LCU/tonne),Producer Price (LCU/tonne),LCU,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 214 distinct items"
FAO,Prices_E_All_Data_(Normalized).csv,Producer Price Index (2014-2016 = 100),Producer Price Index (2014-2016 = 100),,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 234 distinct items"
FAO,Prices_E_AreaCodes.csv,M49 Code,M49 Code,,wide,"Columns: Area Code, M49 Code, Area..."
FAO,Prices_E_Elements.csv,Producer Price (SLC/tonne),Producer Price (SLC/tonne),,long (Element per row),"File structure: Element Code, Element..."
FAO,Prices_E_Elements.csv,Producer Price (USD/tonne),Producer Price (USD/tonne),,long (Element per row),"File structure: Element Code, Element..."
FAO,Prices_E_Elements.csv,Producer Price (LCU/tonne),Producer Price (LCU/tonne),,long (Element per row),"File structure: Element Code, Element..."
FAO,Prices_E_Elements.csv,Producer Price Index (2014-2016 = 100),Producer Price Index (2014-2016 = 100),,long (Element per row),"File structure: Element Code, Element..."
FAO,Prices_E_Flags.csv, Description, Description,,wide,"Columns: Flag,  Description..."
FAO,Prices_E_ItemCodes.csv,Item Code,Item Code,,wide,"Columns: Item Code, CPC Code, Item..."
