source,file,indicator_code,indicator_name,unit,data_format,notes,name_lower
FAO,Production_Crops_Livestock_E_Elements.csv,Area harvested,Area harvested,,long (Element per row),"File structure: Element Code, Element...",area harvested
FAO,Production_Crops_Livestock_E_Flags.csv, Description, Description,,wide,"Columns: Flag,  Description...", description
FAO,Production_Crops_Livestock_E_ItemCodes.csv,Item Code,Item Code,,wide,"Columns: Item Code, CPC Code, Item...",item code
FAO,Production_Crops_Livestock_E_ItemCodes.csv,CPC Code,CPC Code,,wide,"Columns: Item Code, CPC Code, Item...",cpc code
FAO,Production_Crops_Livestock_E_ItemCodes.csv,Item,Item,,wide,"Columns: Item Code, CPC Code, Item...",item
FAO,Production_Indices_E_All_Data_(Normalized).csv,Gross Production Index Number (2014-2016 = 100),Gross Production Index Number (2014-2016 = 100),,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 196 distinct items",gross production index number (2014-2016 = 100)
FAO,Production_Indices_E_All_Data_(Normalized).csv,Gross per capita Production Index Number (2014-2016 = 100),Gross per capita Production Index Number (2014-2016 = 100),,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 196 distinct items",gross per capita production index number (2014-2016 = 100)
FAO,Production_Indices_E_AreaCodes.csv,M49 Code,M49 Code,,wide,"Columns: Area Code, M49 Code, Area...",m49 code
FAO,Production_Indices_E_Elements.csv,Gross Production Index Number (2014-2016 = 100),Gross Production Index Number (2014-2016 = 100),,long (Element per row),"File structure: Element Code, Element...",gross production index number (2014-2016 = 100)
FAO,Production_Indices_E_Elements.csv,Gross per capita Production Index Number (2014-2016 = 100),Gross per capita Production Index Number (2014-2016 = 100),,long (Element per row),"File structure: Element Code, Element...",gross per capita production index number (2014-2016 = 100)
FAO,Production_Indices_E_Flags.csv, Description, Description,,wide,"Columns: Flag,  Description...", description
FAO,Production_Indices_E_ItemCodes.csv,Item Code,Item Code,,wide,"Columns: Item Code, CPC Code, Item...",item code
FAO,Production_Indices_E_ItemCodes.csv,CPC Code,CPC Code,,wide,"Columns: Item Code, CPC Code, Item...",cpc code
FAO,Production_Indices_E_ItemCodes.csv,Item,Item,,wide,"Columns: Item Code, CPC Code, Item...",item
FAO,Trade_CropsLivestock_E_All_Data_(Normalized).csv,Import quantity,Import quantity,t,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 604 distinct items",import quantity
FAO,Trade_CropsLivestock_E_All_Data_(Normalized).csv,Export quantity,Export quantity,t,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 601 distinct items",export quantity
FAO,Trade_CropsLivestock_E_All_Data_(Normalized).csv,Export value,Export value,1000 USD,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 615 distinct items",export value
FAO,Trade_CropsLivestock_E_All_Data_(Normalized).csv,Import value,Import value,1000 USD,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 616 distinct items",import value
FAO,Trade_CropsLivestock_E_AreaCodes.csv,M49 Code,M49 Code,,wide,"Columns: Area Code, M49 Code, Area...",m49 code
FAO,Trade_CropsLivestock_E_Elements.csv,Import quantity,Import quantity,,long (Element per row),"File structure: Element Code, Element...",import quantity
FAO,Trade_CropsLivestock_E_Elements.csv,Export quantity,Export quantity,,long (Element per row),"File structure: Element Code, Element...",export quantity
FAO,Trade_CropsLivestock_E_Elements.csv,Export value,Export value,,long (Element per row),"File structure: Element Code, Element...",export value
FAO,Trade_CropsLivestock_E_Elements.csv,Import value,Import value,,long (Element per row),"File structure: Element Code, Element...",import value
FAO,Trade_CropsLivestock_E_Flags.csv, Description, Description,,wide,"Columns: Flag,  Description...", description
FAO,Trade_CropsLivestock_E_ItemCodes.csv,Item Code,Item Code,,wide,"Columns: Item Code, CPC Code, Item...",item code
FAO,Trade_CropsLivestock_E_ItemCodes.csv,CPC Code,CPC Code,,wide,"Columns: Item Code, CPC Code, Item...",cpc code
FAO,Trade_CropsLivestock_E_ItemCodes.csv,Item,Item,,wide,"Columns: Item Code, CPC Code, Item...",item
FAO,Trade_Indices_E_All_Data_(Normalized).csv,Export Value Index (2014-2016 = 100),Export Value Index (2014-2016 = 100),,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 188 distinct items",export value index (2014-2016 = 100)
FAO,Trade_Indices_E_All_Data_(Normalized).csv,Import Quantity Index (2014-2016 = 100),Import Quantity Index (2014-2016 = 100),,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 184 distinct items",import quantity index (2014-2016 = 100)
FAO,Trade_Indices_E_All_Data_(Normalized).csv,Export Quantity Index (2014-2016 = 100),Export Quantity Index (2014-2016 = 100),,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 184 distinct items",export quantity index (2014-2016 = 100)
FAO,Trade_Indices_E_All_Data_(Normalized).csv,Import Unit/Value Index (2014-2016 = 100),Import Unit/Value Index (2014-2016 = 100),,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 184 distinct items",import unit/value index (2014-2016 = 100)
FAO,Trade_Indices_E_All_Data_(Normalized).csv,Export Unit/Value Index (2014-2016 = 100),Export Unit/Value Index (2014-2016 = 100),,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 184 distinct items",export unit/value index (2014-2016 = 100)
